appid,Genre
10,Action
20,Action
30,Action
40,Action
50,Action
60,Action
70,Action
80,Action
100,Action
130,Action
219,Action
220,Action
240,Action
280,Action
300,Action
320,Action
340,Action
360,Action
380,Action
400,Action
410,Action
420,Action
440,Action
440,"Free to Play"
500,Action
550,Action
570,Action
570,"Free to Play"
570,Strategy
620,Action
620,Adventure
630,Action
659,Action
659,Adventure
730,Action
1002,Indie
1003,Indie
1200,Action
1230,Action
1250,Action
1256,Action
1257,Action
1280,Action
1300,Action
1309,Action
1313,Action
1500,Indie
1500,Strategy
1502,Indie
1502,Strategy
1510,Indie
1510,Strategy
1520,Indie
1520,Strategy
1522,Indie
1522,Strategy
1530,Indie
1540,Indie
1600,Strategy
1610,Strategy
1620,Strategy
1630,Strategy
1640,Strategy
1670,Strategy
1690,Strategy
1700,RPG
1710,RPG
1840,"Animation & Modeling"
1840,"Video Production"
1900,Strategy
1930,RPG
2100,Action
2100,RPG
2120,Action
2120,RPG
2130,Action
2130,RPG
2200,Action
2210,Action
2270,Action
2280,Action
2290,Action
2300,Action
2310,Action
2320,Action
2330,Action
2340,Action
2350,Action
2360,Action
2370,Action
2390,Action
2400,Action
2400,Indie
2400,RPG
2420,Action
2420,Indie
2420,RPG
2450,Action
2500,Action
2510,Action
2520,Casual
2520,Indie
2525,Casual
2525,Indie
2535,Casual
2535,Indie
2540,Casual
2540,Indie
2545,Casual
2545,Indie
2550,Casual
2550,Indie
2560,Casual
2560,Indie
2570,Indie
2570,RPG
2580,Indie
2580,RPG
2590,Action
2600,Action
2610,Action
2620,Action
2630,Action
2640,Action
2700,Simulation
2700,Strategy
2710,Action
2720,Action
2720,Indie
2720,Strategy
2730,Action
2730,Strategy
2780,Action
2800,Strategy
2810,Strategy
2820,Action
2820,Simulation
2820,Strategy
2840,Simulation
2840,Strategy
2850,Simulation
2850,Strategy
2870,Action
2870,Simulation
2900,Strategy
2910,Strategy
2920,Strategy
2990,Racing
3000,Racing
3010,Racing
3020,Action
3050,Racing
3130,Strategy
3170,RPG
3170,Strategy
3190,RPG
3200,Action
3210,Action
3230,Strategy
3260,Adventure
3260,Casual
3270,Action
3280,Action
3300,Casual
3302,Casual
3310,Casual
3312,Casual
3320,Casual
3322,Casual
3330,Casual
3332,Casual
3340,Casual
3342,Casual
3350,Casual
3352,Casual
3360,Casual
3362,Casual
3370,Casual
3372,Casual
3380,Casual
3382,Casual
3390,Casual
3392,Casual
3400,Casual
3402,Casual
3410,Casual
3412,Casual
3420,Casual
3422,Casual
3430,Casual
3432,Casual
3440,Casual
3442,Casual
3450,Casual
3452,Casual
3460,Casual
3462,Casual
3470,Casual
3472,Casual
3480,Casual
3482,Casual
3483,Casual
3490,Casual
3492,Casual
3500,Casual
3502,Casual
3510,Casual
3512,Casual
3520,Casual
3522,Casual
3530,Casual
3532,Casual
3540,Casual
3560,Casual
3560,Strategy
3562,Casual
3570,Casual
3572,Casual
3580,Casual
3582,Casual
3590,Strategy
3592,Strategy
3600,Casual
3602,Casual
3610,Casual
3612,Casual
3620,Action
3620,Casual
3622,Action
3622,Casual
3630,Casual
3632,Casual
3700,Action
3710,Action
3720,Strategy
3730,Action
3800,Action
3810,Action
3820,Action
3830,Action
3838,Action
3839,Action
3850,Action
3900,Strategy
3910,Strategy
3920,RPG
3960,Strategy
3980,Strategy
3990,Strategy
4000,Indie
4000,Simulation
4100,Casual
4100,Indie
4100,Strategy
4102,Casual
4230,Racing
4240,Racing
4260,Racing
4290,Racing
4300,Action
4300,Indie
4310,Action
4310,Indie
4420,RPG
4440,RPG
4460,Simulation
4460,Strategy
4470,RPG
4500,Action
4500,RPG
4520,Action
4520,Strategy
4530,Action
4530,Strategy
4540,Action
4540,RPG
4550,Action
4550,RPG
4560,Action
4560,Strategy
4570,Strategy
4580,Strategy
4590,Action
4590,RPG
4700,Strategy
4710,Strategy
4720,Action
4760,Strategy
4770,Strategy
4780,Strategy
4800,Strategy
4810,Strategy
4820,Strategy
4850,Strategy
4856,Strategy
4870,Strategy
4880,Strategy
4890,Strategy
4900,Casual
4900,Indie
4910,Casual
4910,Indie
4920,Action
4920,Indie
4920,Strategy
4932,Action
4932,Indie
4932,Strategy
6000,Action
6010,Adventure
6020,Action
6030,Action
6040,Adventure
6060,Action
6080,Strategy
6090,Action
6120,Action
6120,Indie
6129,Action
6129,Indie
6130,Action
6130,Indie
6200,Strategy
6210,Strategy
6220,Racing
6230,Racing
6250,Action
6250,Strategy
6260,Action
6260,Strategy
6270,Racing
6300,Adventure
6300,RPG
6310,Action
6310,Adventure
6310,RPG
6320,Action
6320,Adventure
6320,RPG
6370,Action
6370,"Free to Play"
6370,"Massively Multiplayer"
6400,Action
6400,Strategy
6410,Action
6420,Indie
6420,Simulation
6420,Strategy
6510,Action
6510,Adventure
6550,Action
6580,Action
6600,Casual
6600,Indie
6800,Action
6810,Action
6830,Action
6840,Action
6850,Action
6860,Action
6870,Action
6880,Action
6900,Action
6910,Action
6920,Action
6930,Action
6940,Action
6950,Action
6980,Action
7000,Action
7000,Adventure
7010,Action
7020,Action
7030,Action
7030,Adventure
7050,Action
7110,RPG
7200,Racing
7210,Adventure
7220,Adventure
7230,Adventure
7260,RPG
7280,RPG
7290,Adventure
7290,RPG
7340,Casual
7340,Indie
7510,Action
7510,Adventure
7510,RPG
7520,RPG
7530,Strategy
7600,Strategy
7610,Strategy
7620,Strategy
7650,Strategy
7660,Strategy
7670,Action
7670,RPG
7710,Action
7730,Strategy
7760,Strategy
7770,Strategy
7830,Strategy
7840,Racing
7860,Action
7890,Strategy
7940,Action
7970,Sports
8000,Action
8000,Adventure
8030,Action
8030,Adventure
8080,Action
8090,Action
8100,Action
8140,Action
8140,Adventure
8150,Action
8170,Action
8170,Strategy
8180,Action
8190,Action
8190,Adventure
8230,Action
8230,Adventure
8310,Adventure
8320,Adventure
